
2pac توپاک
mcdonald مک‌دونالد
megabyte مگابایت
mercedes مرسدس
merci مرسی
mercury مرکوری
michael مایکل
michell میشل
michigan میشیگان
microscope میکروسکوپ
microsoft میکروسافت
micro میکرو
miley مایلی
mind مایند
mix میکس
mobile موبایل
mojtaba مجتبی
mojtabaa مجتبی
money مانی
monica مونیکا
moosa موسی
mortal مورتال
mortaza مرتضی
morteza مرتضی
moscow مسکو
moshk مشک
mostafa مصطفی
motherboard مادربرد
mother مادر
mouse ماوس
movie مووی
mozzart موتزات
muggle ماگل
musa موسی
music موزیک
naghes ناقص
naghez ناقض
nancy نانسی
naqes ناقص
naqez ناقض
narafigh نارفیق
narafiq نارفیق
navaei نوایی
nazem ناظم
na نه
neon نئون
nesbatan نسبتاً
news نیوز
new نیو
nicki نیکی
nima نیما
nimeyeh نیمه
nimeye نیمه
nozari نظری
offer آفر
official آفیشال
offline آفلاین
off آف
okay اوکی
ok اوکی
online آنلاین
on آن
open اوپن
order اوردر
original اورجینال
oscar اسکار
ozra عذرا
o و
page پیج
pahlan پهلان
pakistan پاکستان
pandvash پندوش
parkway پارک‌وی
pasho پاشو
paya پایا
paye پای
pc پی‌سی
performance پرفورمنس
perry پری
persian پرشین
persia پرشیا
pharrel فرل
photoshop فتوشاپ
plan پلن
plastic پلاستیک
playstation پلی‌استیشن
play پلی
police پلیس
polytechnic پلی‌تکنیک
porsche پورشه
position پوزیشن
potter پاتر
powerpoint پاورپوینت
presley پرسلی
pride پراید
princess پرنسس
prince پرنس
private پرایوت
public پابلیک
puzzle پازل
pv پی‌وی
python پایتون
qannadi قنادی
qannad قناد
qatel قاتل
qater قاطر
qavam قوام
qayeb غایب
qolamali غلام‌علی
qolamreza غلام‌رضا
qolam غلام
quran قرآن
rabean رابعاً
raheleh راحله
rahele راحله
rank رنک
rebecca ربکا
receiver رسیور
receive رسیو
record رکورد
remix ریمیکس
rex رکس
rice رایس
rihanna ریحانا
rock راک
roham رهام
rohham رهام
roya رویا
saber صابر
sabet ثابت
saeed سعید
sahab سحاب
salam سلام
salesan ثالثاً
sales ثالث
salha سال‌ها
sandis ساندیس
sanian ثانیاً
sarah سارا
sara سارا
sareean سریعاً
sarian سریعاً
satar ستار
sattar ستار
save سیو
screenshot اسکرین‌شات
screen اسکرین
selena سلنا
send سند
sepidari سپیداری
setar ستاره
sexy سکسی
sex سکس
shadidan شدیداً
shahd شهد
shakerdoost شاکردوست
shakerdoust شاکردوست
shakerdust شاکردوست
shakerian شاکریان
shakeri شاکری
shaker شاکر
shakespeare شیکسپیر
shakira شکیرا
shamaeizadeh شماعی‌زاده
shamaeizade شماعی‌زاده
shojaan شجاعان
shop شاپ
sho شو
sia سیا
sima سیما
snapp اسنپ
snap اسنپ
soal سؤال
social سوشال
soghra صغری
soqra صغری
soundtrack ساندترک
source سورس
speaker اسپیکر
spears اسپیرز
stalin استالین
standard استاندارد
stanislaw استانیسلاو
star استار
steel استیل
sting استینگ
style استیل
sucker ساکر
suck ساک
sundis ساندیس
sunich سان‌ایچ
support ساپورت
swift سویفت
tadrijan تدریجاً
taghriban تقریباً
tahghighan تحقیقاً
tahqian تحقیقاً
talebzadeh طالب‌زاده
talebzade طالب‌زاده
taleb طالب
taqriban تقریباً
tasamoh تسامح
taxi تاکسی
taylor تیلور
technician تکنیسین
techno تکنو
telescope تلسکوپ
terabyte ترابایت
texas تگزاس
thom تام
ticket تیکت
timberlake تیمبرلیک
tokyo توکیو
tolkien تالکین
top تاپ
touchpad تاچپد
touch تاچ
trump ترامپ
tweet تویت
type تایپ
unix یونیکس
ups یو‌پی‌اس
up آپ
usb یو‌اس‌بی
user یوزر
vaghe'an واقعاً
vaghean واقعاً
vala والا
valentine ولنتاین
vaqe'an واقعاً
vaqean واقعاً
vay وای
viber وایبر
vibes وایبز
vibe وایب
video ویدیو
view ویو
viguen ویگن
violin ویولون
visual ویژوال
voa وی‌او‌ای
voice وویس
vpn وی‌پی‌ان
vps وی‌پی‌اس
wars وارز
war وار
wax واکس
webcam وب‌کم
weblog وبلاگ
web وب
wifi وای‌فای
williams ویلیامز
william ویلیام
windows ویندوز
winston وینستون
wireless وایرلس
wire وایر
word ورد
xamarin زامارین
xantia زانتیا
xp اکس‌پی
yahya یحیی
yellow یلو
ye یه
youtube یوتوب
you یو
zaheran ظاهراً
zahra زهرا
zombie زامبی
